"","score"
"20x15",0.502316213494461
"20x16",0.435834172541121
"20x17",0.479355488418932
"20x18",0.428331654917758
"20x19",0.503407183618664
"20x20",0.534978180597516
"20x21",0.468999664316885
"20x22",0.437915407854985
"20x23",0.478079892581403
"20x24",0.506478684122189
"20x25",0.440886203423968
"20x26",0.491104397448808
"20x27",0.491725411211816
"20x28",0.458140315542128
"20x29",0.447197045988587
"20x30",0.470040281973817
"21x14",0.288637126552534
"21x15",0.481403155421282
"21x16",0.468949311849614
"21x17",0.461144679422625
"21x18",0.426300772071165
"21x19",0.461564283316549
"21x20",0.503843571668345
"21x21",0.464719704598859
"21x22",0.447432024169184
"21x23",0.506898288016113
"21x24",0.505706612957368
"21x25",0.455521987244042
"21x26",0.488687479019805
"21x27",0.448556562604901
"21x28",0.393940919771736
"21x29",0.418429003021148
"21x30",0.473481033903995
"22x14",0.452098019469621
"22x15",0.500352467270896
"22x16",0.4432527693857
"22x17",0.453155421282309
"22x18",0.476686807653575
"22x19",0.462621685129238
"22x20",0.393034575360859
"22x21",0.46050688150386
"22x22",0.446962067807989
"22x23",0.527626720375965
"22x24",0.467690500167842
"22x25",0.44961396441759
"22x26",0.512017455521987
"22x27",0.564467942262504
"22x28",0.476132930513595
"22x29",0.512151728768043
"23x14",0.437479019805304
"23x15",0.444427660288688
"23x16",0.493034575360859
"23x17",0.412118160456529
"23x18",0.417656931856328
"23x19",0.531973816717019
"23x20",0.536975495132595
"23x21",0.420426317556227
"23x22",0.50431352802954
"23x23",0.49214501510574
"23x24",0.413225914736489
"23x25",0.430949983215844
"23x26",0.443521315877811
"23x27",0.147683786505539
"23x28",0.475008392077878
"23x29",0.516465256797583
"24x14",0.407754279959718
"24x15",0.420275260154414
"24x16",0.485532057737496
"24x17",0.513528029540114
"24x18",0.482829808660624
"24x19",0.547465592480698
"24x20",0.447280966767372
"24x21",0.434793554884189
"24x22",0.491624706277274
"24x23",0.457032561262169
"24x24",0.439761664988251
"24x25",0.508089963074857
"24x26",0.462638469284995
"24x27",0.466465256797583
"24x28",0.379389056730446
"24x29",0.428079892581403
"25x14",0.428063108425646
"25x15",0.4419268210809
"25x16",0.437176905001678
"25x17",0.463477677072843
"25x18",0.493017791205102
"25x19",0.481873111782477
"25x20",0.510456529036589
"25x21",0.469033232628399
"25x22",0.489459550184626
"25x23",0.462655253440752
"25x24",0.469268210808996
"25x25",0.490936555891239
"25x26",0.477307821416583
"25x27",0.463846928499496
"25x28",0.482678751258812
"25x29",0.393001007049345
"26x14",0.269066800939913
"26x15",0.438637126552534
"26x16",0.454615642833165
"26x17",0.435280295401141
"26x18",0.516247062772742
"26x19",0.445669687814703
"26x20",0.429137294394092
"26x21",0.452735817388385
"26x22",0.477408526351125
"26x23",0.424202752601544
"26x24",0.445082242363209
"26x25",0.446945283652232
"26x26",0.47787848271232
"26x27",0.394041624706277
"26x28",0.450151057401813
"27x17",0.519553541456865
"27x18",0.501913393756294
"3x21",0.385481705270225
"4x18",0.429573682443773
"4x19",0.392581403155421
"4x20",0.34922792883518
"4x21",0.355119167505874
"4x22",0.311111111111111
"4x23",0.362269217858342
"4x24",0.308492782813025
"5x17",0.381168177240685
"5x18",0.349781805975159
"5x19",0.3634944612286
"5x20",0.358257804632427
"5x21",0.3513259483048
"5x22",0.392010741859684
"5x23",0.431000335683115
"5x24",0.468160456529037
"5x25",0.468445787176905
"5x26",0.347801275595838
"6x17",0.235733467606579
"6x18",0.454716347767707
"6x19",0.38595166163142
"6x20",0.362504196038939
"6x21",0.422960725075529
"6x22",0.378415575696542
"6x23",0.363578382007385
"6x24",0.474269889224572
"6x25",0.46421617992615
"6x26",0.384676065793891
"6x27",0.305924806982209
"6x28",0.336488754615643
"6x29",0.287546156428332
"6x30",0.385028533064787
"6x31",0.336824437730782
"7x17",0.300352467270896
"7x18",0.399664316884861
"7x19",0.38877139979859
"7x20",0.356764014770057
"7x21",0.464467942262504
"7x22",0.311295736824438
"7x23",0.360741859684458
"7x24",0.422574689493118
"7x25",0.474118831822759
"7x26",0.326132930513595
"7x27",0.373867069486405
"7x28",0.413813360187983
"7x29",0.349546827794562
"7x30",0.361178247734139
"7x31",0.375696542463914
"8x17",0.443940919771735
"8x18",0.450956696878147
"8x19",0.423279624034911
"8x20",0.355219872440416
"8x21",0.419385699899295
"8x22",0.442279288351796
"8x23",0.333383685800604
"8x24",0.3945787176905
"8x25",0.322692178583417
"8x26",0.361698556562605
"8x27",0.389761664988251
"8x28",0.277072843235985
"8x29",0.394175897952333
"8x30",0.297448808324941
"8x31",0.494662638469285
"9x16",0.407385028533065
"9x17",0.298992950654582
"9x18",0.436774085263511
"9x19",0.455001678415576
"9x20",0.42715676401477
"9x21",0.362017455521987
"9x22",0.430597515944948
"9x23",0.400537092984223
"9x24",0.433585095669688
"9x25",0.405488418932528
"9x26",0.424538435716683
"9x27",0.431285666330984
"9x28",0.356075864384022
"9x29",0.482175226586103
"9x30",0.280815709969789
"9x31",0.38313192346425
